Unit,Cluster,Gen9LPClient,Gen9LPSoC,Gen9LPglv,Gen9.5LP,Gen10LP,Gen11_old,Gen11LP,Gen12LP_Arijit,Gen12LP_28,Gen12LP,Gen11
rOTHER_CLKGLUE,rFF,1,0,0.674,1,1,0.261,1,1.017,0.73594156,1.045520307,0.909041099
rOTHER_CPunit,rFF,1,1,1,1,1,1,1,1.017,0.73594156,1.045520307,0.909041099
rOTHER_DFX,rFF,269084,0,0.674,269084,368607.87,96253.849,1,1.017,0.73594156,1.045520307,0.909041099
rOTHER_DOP,rFF,1,0,0.674,1,1,0.261,1,1.017,0.73594156,1.045520307,0.909041099
rOTHER_NONCLKGLUE,rFF,1,0,0.674,1,1,0.261,1,1.017,0.73594156,1.045520307,0.909041099
rOTHER_Repeater,rFF,1,1,1,1,1,1,1,1.017,0.73594156,1.045520307,0.909041099
rOTHER_SMALL,rFF,1,1,1,1,1,1,1,1.017,0.73594156,1.045520307,0.909041099
rOV,rFF,733044,0,618450,733044,0,1373843.03,1294820.78,1439990.27,50515.82279,1016444.734,374248.33
rSF,rFF,1232240,0,379750,1232240,0,52790.711,428491.4,451117.12,447535.3568,447535.3568,254878.7
rSFBE,rFF,0,0,0,0,0,450000,892844.07,916179.33,894.1536257,894153.6257,872738
rSFFE,rFF,0,0,0,0,0,450000,716423.89,724350.37,738945.7442,738945.7442,680281.26
rSVG,rFF,123016,114957.11,110000,119351,0,117312.69,48768.79,52525.08,51084.43976,51084.43976,51724.11
rVF,rFF,733044,0,782000,733044,0,97828.119,940290.88,1021962.29,1023304.839,971280.2905,937748.41
rVFBE,rFF,535472,0,520000,535472,0,684060.96,545806.695,545032.44,1092993.506,580447.25,1098701.57
rVFBE1,rFF,535472,0,520000,535472,0,0,0,0,0,0,0
rVFBE2,rFF,531885,0,0,531885,0,0,0,0,0,0,0
rVS,rFF,636294,0,0,636294,0,586563.45,0,0,0,0,0
rVSBE,rFF,636294,0,434000,636294,0,586563.45,455417.25,472837.79,479428.9464,304936.6122,310459.42
rVSFE,rFF,398948,0,217000,398948,0,426591.6,251931.22,217835.53,213651.6571,213651.6571,252020.81
Assign,ROSC,77530,11576.89,11576.89,74448,12002.47,14820.558,16.01,16.95459,14.29916016,14.18712937,13.32615987
CLKGLUE,ROSC,1,1,1,1,1,1.235,1,1.059,0.893139298,0.886141747,0.832364764
CPunit,ROSC,12750,8827.65,8827.65,11928,16907.21,20876.893,21003.98,22243.21482,18759.47995,18612.50353,17482.97285
DFX,ROSC,198290,132659.81,132659.81,193686,131113.24,161897.62,162183.51,171752.3371,144852.4662,143717.5789,134995.839
DOP,ROSC,1,1,1,1,1,1.235,1,1.059,0.893139298,0.886141747,0.832364764
HPSBE,ROSC,0,0,0,0,578341.36,578341.36,0,0,0,0,0
NONCLKGLUE,ROSC,1,1,1,1,1,1.235,1,1.059,0.893139298,0.886141747,0.832364764
Repeater,ROSC,101910,46089.49,46089.49,98222,137247.3,169471.91,238563.16,252638.3864,213070.1332,211400.7754,198571.5683
